trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-44.63052007141328,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-127.97294596837952,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-85.35659935238535,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-43.84821458684735,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-61.584787271212825,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,13,5.627341887044486,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,1,-65.37042438528916,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-9.660281773348242,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-120.74106235300093,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-68.62366935614979,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,0,-55.098968384673086,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-177.34923248523847,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-67.27437830461245,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,10,7.961813201652654,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,10,13.522529035259657,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
